Nombre,Edad,Departamento,Calificacion,Beca
Juan Lopez,20,Ingenieria,7.12,No
Ana Lopez,23,Historia,1.32,Si
Juan Lopez,28,Economia,8.09,Si
Ana Perez,22,Quimica,8.1,Si
Ana Martinez,29,Arte,2.72,Si
Juan Garcia,19,Economia,3.92,Si
Laura Lopez,24,Quimica,5.44,Si
Pedro Garcia,22,Fisica,3.05,No
Maria Rodriguez,20,Quimica,5.7,No
Ana Martinez,20,Biologia,8.06,Si
Carlos Martinez,29,Derecho,3.18,Si
Ana Perez,20,Economia,9.62,Si
Maria Garcia,26,Medicina,1.68,No
Javier Perez,29,Biologia,5.67,No
Pedro Perez,20,Quimica,1.7,No
Ana Perez,26,Ingenieria,2.04,No
Maria Garcia,24,Economia,9.01,Si
Carlos Martinez,26,Economia,7.81,No
Javier Martinez,21,Economia,0.2,Si
Pedro Garcia,24,Biologia,7.37,No
Laura Lopez,24,Fisica,0.55,No
Laura Rodriguez,24,Matematicas,2.06,Si
Javier Rodriguez,29,Arte,0.69,Si
Elena Martinez,18,Biologia,8.39,Si
Carlos Perez,27,Fisica,0.02,No
Pedro Garcia,26,Fisica,7.18,No
Javier Rodriguez,20,Quimica,7.8,No
Javier Perez,23,Economia,2.57,Si
Ana Lopez,23,Fisica,4.31,Si
Luis Lopez,30,Fisica,3.49,Si
Luis Garcia,27,Fisica,2.81,No
Juan Lopez,19,Arte,9.54,Si
Javier Martinez,19,Arte,2.91,No
Maria Lopez,18,Matematicas,6.97,No
Javier Garcia,28,Ingenieria,7.67,No
Elena Lopez,30,Ingenieria,2.76,No
Ana Garcia,21,Matematicas,7.7,Si
Elena Perez,27,Economia,8.89,Si
Javier Rodriguez,30,Historia,0.7,No
Javier Rodriguez,21,Arte,3.89,Si
Javier Martinez,24,Derecho,7.67,No
Luis Perez,27,Biologia,7.09,No
Javier Lopez,23,Quimica,0.14,Si
Juan Perez,29,Ingenieria,5.7,Si
Luis Rodriguez,24,Fisica,3.5,No
Pedro Perez,29,Medicina,2.15,No
Luis Garcia,20,Matematicas,1.88,No
Juan Lopez,20,Economia,2.75,Si
Elena Garcia,23,Arte,2.17,No
Javier Lopez,26,Derecho,0.38,No
Elena Lopez,27,Derecho,1.21,Si
Laura Rodriguez,20,Medicina,2.88,No
Javier Perez,20,Matematicas,7.64,No
Pedro Martinez,25,Derecho,8.68,Si
Maria Perez,23,Medicina,5.17,No
Carlos Garcia,19,Medicina,4.33,Si
Maria Perez,18,Arte,0.37,No
Sofia Rodriguez,26,Matematicas,0.8,Si
Laura Rodriguez,24,Ingenieria,2.34,No
Sofia Martinez,22,Quimica,2.13,No
Maria Perez,20,Ingenieria,0.56,Si
Sofia Martinez,23,Medicina,0.44,Si
Sofia Rodriguez,23,Medicina,8.04,No
Pedro Rodriguez,19,Historia,9.48,No
Luis Rodriguez,28,Economia,7.95,Si
Carlos Perez,25,Fisica,3.68,Si
Pedro Lopez,21,Historia,8.32,No
Ana Perez,23,Medicina,2.09,Si
Sofia Lopez,22,Economia,2.41,No
Juan Martinez,26,Quimica,7.12,No
Pedro Rodriguez,23,Quimica,9.96,No
Ana Rodriguez,21,Quimica,3.91,Si
Sofia Lopez,26,Medicina,4.16,Si
Pedro Garcia,18,Biologia,4.34,Si
Elena Rodriguez,26,Matematicas,4.53,No
Ana Perez,29,Biologia,4.65,Si
Maria Lopez,23,Economia,4.2,No
Elena Perez,23,Quimica,9.3,No
Laura Martinez,27,Ingenieria,2.56,Si
Carlos Garcia,18,Quimica,7.89,No
Luis Rodriguez,22,Medicina,2.1,Si
Elena Garcia,28,Fisica,0.14,Si
Pedro Rodriguez,25,Biologia,9.22,No
Ana Garcia,21,Historia,4.6,Si
Luis Garcia,20,Derecho,8.72,No
Ana Perez,25,Historia,4.57,No
Javier Perez,22,Ingenieria,2.1,Si
Laura Rodriguez,29,Fisica,4.11,No
Laura Lopez,30,Biologia,3.65,No
Luis Rodriguez,19,Ingenieria,6.87,Si
Maria Perez,28,Derecho,2.3,Si
Juan Martinez,27,Historia,1.0,No
Elena Perez,18,Economia,7.08,No
Sofia Perez,29,Arte,7.77,No
Maria Perez,23,Quimica,6.9,Si
Sofia Lopez,28,Quimica,4.26,No
Sofia Martinez,18,Biologia,2.29,Si
Javier Martinez,20,Historia,6.18,No
Maria Rodriguez,18,Medicina,3.19,Si
Javier Perez,23,Derecho,6.9,Si
Elena Martinez,21,Matematicas,9.55,No
Maria Martinez,20,Matematicas,2.79,No
Ana Garcia,30,Medicina,4.9,Si
Ana Martinez,26,Historia,3.59,No
Laura Perez,28,Historia,3.28,No
Carlos Martinez,20,Medicina,3.16,Si
Sofia Perez,27,Economia,7.24,Si
Ana Rodriguez,21,Fisica,6.19,Si
Maria Garcia,27,Fisica,1.05,Si
Pedro Lopez,26,Derecho,6.5,No
Sofia Garcia,30,Ingenieria,3.78,No
Elena Garcia,27,Fisica,7.31,No
Carlos Garcia,24,Medicina,8.86,Si
Carlos Rodriguez,27,Ingenieria,6.63,No
Carlos Lopez,27,Derecho,0.52,Si
Elena Garcia,30,Quimica,2.61,Si
Sofia Lopez,26,Fisica,6.43,No
Juan Garcia,23,Economia,0.01,Si
Javier Rodriguez,24,Medicina,1.6,No
Juan Rodriguez,25,Historia,6.92,Si
Luis Martinez,18,Medicina,1.15,No
Javier Rodriguez,25,Medicina,2.77,Si
Elena Garcia,21,Derecho,0.61,No
Luis Perez,18,Derecho,5.03,No
Sofia Garcia,19,Arte,3.08,No
Carlos Rodriguez,29,Quimica,3.63,Si
Luis Garcia,22,Fisica,9.62,No
Luis Garcia,29,Ingenieria,5.55,Si
Elena Perez,23,Economia,2.81,Si
Laura Rodriguez,30,Quimica,6.7,Si
Carlos Garcia,30,Biologia,5.0,Si
Carlos Perez,19,Arte,1.31,Si
Luis Martinez,21,Arte,7.05,No
Sofia Garcia,28,Medicina,8.45,No
Ana Garcia,19,Derecho,6.23,No
Javier Perez,27,Ingenieria,4.12,Si
Javier Garcia,23,Economia,7.45,Si
Luis Perez,24,Derecho,1.12,No
Javier Perez,29,Fisica,5.78,Si
Pedro Perez,30,Ingenieria,3.46,No
Javier Rodriguez,24,Historia,9.69,No
Laura Perez,30,Derecho,4.74,No
Juan Rodriguez,19,Economia,4.7,No
Ana Rodriguez,23,Medicina,7.51,Si
Pedro Martinez,27,Biologia,6.16,No
Ana Garcia,24,Matematicas,7.53,No
Javier Martinez,19,Ingenieria,9.84,Si
Luis Perez,26,Historia,2.22,No
Luis Garcia,27,Fisica,6.51,No
Sofia Garcia,30,Fisica,0.32,Si
Javier Garcia,18,Matematicas,2.8,Si
Sofia Lopez,18,Historia,3.02,No
Elena Garcia,21,Quimica,6.96,No
Ana Martinez,23,Historia,7.37,No
Luis Rodriguez,20,Arte,3.55,Si
Carlos Lopez,27,Historia,4.57,Si
Ana Rodriguez,28,Fisica,9.88,No
Juan Perez,21,Historia,7.07,No
Maria Perez,26,Biologia,7.11,No
Javier Garcia,23,Arte,0.55,Si
Elena Martinez,18,Biologia,8.4,No
Ana Martinez,24,Matematicas,2.27,Si
Carlos Perez,26,Matematicas,9.56,No
Laura Martinez,18,Ingenieria,1.94,No
Carlos Rodriguez,18,Fisica,6.54,Si
Elena Rodriguez,19,Quimica,2.85,No
Carlos Perez,21,Biologia,7.03,No
Maria Perez,27,Medicina,5.26,Si
Laura Rodriguez,27,Medicina,6.74,No
Laura Garcia,23,Economia,8.23,No
Elena Rodriguez,25,Economia,9.75,No
Maria Rodriguez,27,Fisica,7.64,No
Carlos Rodriguez,26,Historia,8.38,No
Juan Perez,24,Matematicas,6.58,No
Javier Perez,19,Biologia,7.07,Si
Ana Martinez,27,Economia,8.73,Si
Ana Rodriguez,28,Ingenieria,1.42,Si
Ana Garcia,28,Matematicas,7.97,No
Luis Martinez,29,Quimica,8.28,Si
Carlos Lopez,20,Derecho,6.73,No
Luis Martinez,29,Historia,3.5,No
Laura Perez,21,Fisica,2.19,Si
Luis Lopez,18,Arte,1.86,Si
Luis Perez,23,Ingenieria,3.9,No
Luis Rodriguez,23,Matematicas,8.52,No
Elena Martinez,26,Ingenieria,8.26,No
Javier Perez,20,Biologia,4.85,No
Luis Martinez,28,Derecho,8.18,No
Pedro Rodriguez,21,Medicina,8.54,No
Ana Lopez,23,Economia,3.17,Si
Javier Martinez,23,Quimica,2.24,Si
Sofia Martinez,24,Economia,4.32,No
Carlos Lopez,21,Historia,6.02,Si
Javier Rodriguez,28,Economia,1.22,Si
Ana Garcia,30,Historia,3.85,Si
Pedro Lopez,27,Quimica,7.62,No
Luis Lopez,21,Ingenieria,5.3,Si
Laura Perez,25,Fisica,5.16,Si
Ana Lopez,20,Medicina,9.63,No
Elena Martinez,23,Matematicas,4.0,No
Javier Rodriguez,27,Ingenieria,7.14,Si
Laura Martinez,30,Medicina,5.59,No
Pedro Perez,25,Medicina,4.15,No
Luis Lopez,23,Arte,8.2,Si
Ana Lopez,29,Economia,8.8,No
Ana Lopez,23,Medicina,5.57,No
Carlos Martinez,19,Historia,2.25,No
Ana Rodriguez,22,Economia,5.54,No
Pedro Rodriguez,26,Arte,8.82,No
Ana Martinez,19,Quimica,2.0,No
Maria Rodriguez,28,Historia,5.23,No
Carlos Garcia,22,Biologia,0.25,No
Ana Lopez,27,Derecho,1.48,Si
Elena Lopez,29,Quimica,2.46,No
Laura Lopez,24,Derecho,1.85,No
Carlos Martinez,19,Matematicas,5.7,Si
Javier Martinez,25,Historia,6.46,Si
Carlos Perez,29,Arte,8.49,No
Ana Lopez,22,Biologia,4.63,Si
Ana Garcia,23,Fisica,4.83,Si
Javier Perez,24,Economia,4.41,No
Laura Lopez,20,Matematicas,3.34,Si
Ana Lopez,26,Economia,3.1,Si
Juan Lopez,18,Medicina,1.53,Si
Juan Lopez,19,Arte,6.49,Si
Maria Rodriguez,27,Fisica,9.69,Si
Laura Garcia,27,Arte,2.19,No
Laura Perez,22,Medicina,7.46,No
Sofia Rodriguez,25,Medicina,1.04,No
Javier Rodriguez,30,Derecho,1.03,No
Carlos Martinez,30,Fisica,3.92,Si
Sofia Lopez,30,Biologia,1.77,Si
Javier Perez,29,Ingenieria,1.3,Si
Carlos Martinez,22,Matematicas,8.01,Si
Luis Rodriguez,28,Derecho,7.26,No
Ana Rodriguez,28,Biologia,2.2,No
Laura Martinez,28,Medicina,8.68,Si
Juan Martinez,26,Matematicas,7.35,Si
Laura Perez,24,Economia,1.71,No
Sofia Rodriguez,30,Economia,5.5,Si
Sofia Garcia,23,Derecho,5.71,No
Maria Perez,18,Historia,2.21,Si
Carlos Martinez,25,Matematicas,4.88,No
Sofia Perez,30,Biologia,8.23,No
Luis Martinez,24,Historia,2.84,Si
Carlos Lopez,19,Quimica,7.47,Si
Sofia Rodriguez,21,Derecho,6.51,No
Maria Garcia,26,Historia,5.9,No
Carlos Rodriguez,29,Economia,7.34,No
Ana Rodriguez,26,Ingenieria,8.58,No
Maria Rodriguez,19,Medicina,5.56,No
Laura Lopez,23,Medicina,1.69,Si
Carlos Perez,23,Medicina,3.45,Si
Javier Rodriguez,18,Fisica,6.77,No
Luis Perez,26,Arte,8.31,No
Elena Rodriguez,30,Historia,7.1,Si
Carlos Martinez,23,Derecho,0.55,Si
Maria Perez,20,Biologia,7.05,Si
Ana Rodriguez,29,Historia,5.94,No
Javier Perez,23,Fisica,1.11,Si
Juan Rodriguez,25,Arte,4.95,No
Pedro Lopez,18,Ingenieria,5.42,No
Ana Perez,27,Historia,4.19,Si
Laura Perez,23,Economia,2.27,Si
Elena Martinez,22,Quimica,6.08,Si
Juan Rodriguez,29,Derecho,2.79,Si
Sofia Perez,27,Medicina,4.34,Si
Elena Perez,25,Quimica,8.74,Si
Laura Garcia,29,Arte,6.12,No
Javier Martinez,22,Quimica,3.6,Si
Elena Garcia,30,Ingenieria,8.55,Si
Ana Lopez,24,Matematicas,8.3,No
Pedro Lopez,20,Fisica,3.14,Si
Elena Rodriguez,26,Economia,2.28,Si
Elena Garcia,25,Biologia,2.26,No
Ana Perez,29,Historia,9.71,Si
Carlos Perez,29,Economia,5.77,No
Luis Martinez,21,Fisica,8.85,No
Juan Perez,19,Quimica,7.85,No
Laura Rodriguez,26,Quimica,7.62,No
Elena Martinez,28,Quimica,7.08,No
Sofia Perez,30,Quimica,9.01,Si
Pedro Lopez,27,Matematicas,3.99,Si
Laura Lopez,26,Ingenieria,9.09,Si
Pedro Martinez,28,Economia,8.76,Si
Ana Perez,21,Biologia,9.95,No
Elena Rodriguez,24,Biologia,2.85,No
Sofia Rodriguez,18,Arte,0.33,No
Sofia Martinez,19,Economia,8.96,Si
Carlos Rodriguez,19,Fisica,5.35,Si
Pedro Perez,24,Ingenieria,4.17,Si
Carlos Martinez,27,Historia,0.1,No
Sofia Perez,21,Historia,2.56,No
Carlos Lopez,19,Medicina,5.8,No
Carlos Martinez,19,Arte,0.92,Si
Maria Rodriguez,24,Matematicas,3.65,No
Sofia Lopez,19,Derecho,5.29,Si
Carlos Lopez,30,Biologia,1.11,Si
Maria Garcia,19,Fisica,5.74,Si
Javier Lopez,30,Medicina,8.77,No
Elena Martinez,29,Medicina,9.93,Si
Laura Martinez,26,Arte,2.46,No
Pedro Perez,25,Fisica,3.16,No
Ana Perez,28,Quimica,1.6,Si
Carlos Martinez,18,Derecho,2.85,No
Pedro Martinez,18,Economia,5.12,Si
Laura Rodriguez,21,Historia,4.34,Si
Pedro Garcia,18,Matematicas,9.32,No
Sofia Perez,27,Quimica,4.59,Si
Luis Garcia,29,Historia,5.92,Si
Ana Perez,29,Medicina,7.54,No
Ana Martinez,28,Medicina,7.53,No
Ana Rodriguez,24,Matematicas,8.14,Si
Maria Perez,24,Matematicas,8.41,No
Luis Lopez,21,Biologia,0.25,Si
Maria Martinez,21,Ingenieria,0.14,Si
Carlos Perez,26,Economia,7.15,No
Juan Lopez,29,Economia,8.49,No
Maria Rodriguez,21,Ingenieria,5.38,Si
Juan Garcia,22,Fisica,7.21,Si
Carlos Rodriguez,26,Ingenieria,0.92,No
Juan Garcia,21,Derecho,9.37,Si
Pedro Garcia,30,Matematicas,0.15,Si
Ana Perez,22,Quimica,9.87,Si
Sofia Rodriguez,25,Fisica,9.47,No
Pedro Martinez,21,Fisica,6.04,No
Maria Rodriguez,26,Medicina,9.16,Si
Elena Perez,28,Biologia,5.97,No
Pedro Perez,23,Matematicas,1.5,No
Ana Rodriguez,26,Medicina,5.78,No
Javier Martinez,24,Fisica,4.68,Si
Laura Martinez,18,Fisica,9.76,Si
Luis Garcia,27,Ingenieria,3.9,Si
Maria Perez,30,Quimica,7.61,No
Javier Lopez,20,Matematicas,7.89,No
Carlos Rodriguez,26,Economia,2.79,Si
Elena Rodriguez,30,Fisica,4.88,No
Sofia Garcia,18,Matematicas,5.87,Si
Maria Martinez,19,Fisica,1.39,Si
Pedro Garcia,26,Historia,6.85,Si
Sofia Martinez,26,Arte,1.08,Si
Luis Lopez,30,Medicina,8.63,Si
Juan Martinez,28,Fisica,5.99,Si
Elena Martinez,28,Matematicas,1.98,No
Maria Garcia,19,Fisica,7.68,Si
Javier Lopez,19,Arte,2.14,No
Laura Garcia,27,Derecho,5.89,No
Juan Garcia,28,Ingenieria,0.34,No
Pedro Garcia,30,Historia,0.52,No
Sofia Rodriguez,21,Arte,6.35,Si
Sofia Rodriguez,19,Economia,2.92,No
Ana Perez,25,Medicina,8.71,Si
Carlos Rodriguez,28,Biologia,7.87,No
Ana Martinez,28,Derecho,1.74,Si
Maria Lopez,24,Fisica,8.89,Si
Juan Rodriguez,22,Historia,1.41,Si
Laura Garcia,24,Derecho,4.91,Si
Ana Perez,22,Economia,6.12,Si
Pedro Perez,18,Economia,8.2,No
Ana Rodriguez,22,Derecho,8.32,Si
Maria Lopez,26,Arte,6.08,Si
Pedro Garcia,23,Fisica,8.97,Si
Laura Lopez,18,Historia,2.88,Si
Laura Rodriguez,27,Ingenieria,5.5,Si
Juan Perez,30,Economia,5.19,No
Ana Garcia,23,Quimica,3.49,No
Pedro Perez,24,Fisica,4.98,No
Ana Perez,19,Historia,6.31,No
Luis Martinez,28,Biologia,0.9,Si
Luis Rodriguez,18,Derecho,6.57,No
Luis Martinez,24,Fisica,8.48,Si
Elena Garcia,20,Fisica,4.72,No
Juan Rodriguez,21,Quimica,2.95,Si
Juan Lopez,28,Derecho,1.36,Si
Javier Rodriguez,30,Historia,5.72,No
Sofia Garcia,28,Derecho,0.06,Si
Maria Perez,18,Derecho,8.79,Si
Carlos Rodriguez,22,Derecho,8.56,No
Laura Perez,29,Arte,9.03,Si
Ana Rodriguez,21,Matematicas,5.86,No
Laura Perez,18,Medicina,9.28,Si
Javier Garcia,27,Ingenieria,6.01,Si
Sofia Lopez,25,Matematicas,1.01,Si
Ana Martinez,23,Economia,8.23,No
Juan Garcia,18,Fisica,0.6,No
Javier Lopez,22,Fisica,6.53,Si
Carlos Perez,28,Biologia,6.81,No
Carlos Perez,25,Ingenieria,2.52,No
Luis Martinez,27,Matematicas,4.48,No
Javier Lopez,23,Fisica,1.19,No
Luis Garcia,25,Quimica,2.7,No
Juan Garcia,23,Economia,1.69,Si
Laura Rodriguez,29,Biologia,2.49,Si
Pedro Garcia,18,Matematicas,9.44,Si
Sofia Lopez,22,Historia,6.29,Si
Ana Lopez,19,Arte,0.92,No
Javier Rodriguez,30,Fisica,1.74,No
Luis Martinez,27,Biologia,7.0,Si
Juan Lopez,30,Ingenieria,1.17,No
Pedro Garcia,19,Quimica,1.07,No
Javier Garcia,21,Fisica,5.62,No
Laura Lopez,21,Medicina,7.53,No
Elena Perez,27,Fisica,6.97,No
Ana Garcia,18,Quimica,3.9,No
Carlos Perez,27,Economia,3.73,No
Sofia Lopez,24,Fisica,3.17,Si
Carlos Garcia,20,Fisica,2.69,Si
Juan Martinez,23,Historia,8.25,No
Ana Rodriguez,30,Economia,0.29,Si
Pedro Martinez,24,Ingenieria,2.07,Si
Pedro Lopez,29,Arte,4.27,No
Laura Martinez,24,Fisica,9.75,No
Laura Garcia,25,Biologia,9.21,Si
Ana Garcia,29,Arte,2.8,Si
Javier Lopez,21,Matematicas,5.19,Si
Maria Martinez,30,Ingenieria,3.18,No
Pedro Rodriguez,22,Fisica,1.74,No
Carlos Lopez,21,Quimica,7.25,Si
Elena Martinez,23,Ingenieria,6.49,No
Laura Rodriguez,21,Biologia,7.14,Si
Laura Perez,25,Quimica,2.41,Si
Luis Rodriguez,24,Medicina,3.04,Si
Pedro Martinez,21,Biologia,9.61,Si
Carlos Perez,29,Economia,1.67,No
Maria Rodriguez,27,Matematicas,8.91,Si
Ana Rodriguez,26,Medicina,0.05,Si
Luis Rodriguez,28,Medicina,0.17,Si
Luis Rodriguez,25,Economia,8.64,Si
Laura Perez,28,Derecho,9.84,No
Elena Martinez,25,Economia,5.96,No
Elena Martinez,26,Derecho,0.33,Si
Juan Rodriguez,23,Matematicas,9.26,No
Carlos Lopez,24,Quimica,8.51,Si
Juan Garcia,24,Biologia,9.31,No
Sofia Rodriguez,24,Biologia,0.17,Si
Juan Martinez,26,Derecho,7.18,No
Maria Lopez,27,Ingenieria,3.68,No
Elena Rodriguez,19,Medicina,4.17,Si
Laura Lopez,26,Fisica,6.51,Si
Elena Perez,21,Economia,5.43,Si
Luis Perez,21,Matematicas,4.72,No
Laura Martinez,28,Fisica,8.03,No
Maria Lopez,29,Derecho,0.98,Si
Elena Lopez,29,Quimica,1.37,No
Elena Rodriguez,27,Medicina,4.12,No
Laura Rodriguez,18,Arte,8.43,No
Ana Garcia,23,Medicina,0.9,Si
Javier Perez,23,Quimica,0.73,No
Sofia Lopez,18,Ingenieria,8.85,Si
Elena Lopez,18,Derecho,4.09,Si
Javier Perez,30,Fisica,0.07,No
Pedro Lopez,29,Historia,2.33,Si
Javier Martinez,23,Medicina,0.52,Si
Luis Rodriguez,19,Arte,2.24,Si
Ana Rodriguez,22,Ingenieria,7.66,Si
Laura Martinez,22,Ingenieria,1.77,No
Laura Garcia,23,Ingenieria,0.35,Si
Sofia Perez,21,Matematicas,2.59,Si
Elena Rodriguez,22,Quimica,0.34,No
Pedro Perez,23,Historia,0.07,No
Sofia Rodriguez,28,Medicina,9.03,Si
Pedro Lopez,18,Fisica,1.82,Si
Pedro Perez,28,Historia,8.67,No
Carlos Martinez,19,Matematicas,1.97,No
Sofia Martinez,22,Ingenieria,2.28,Si
Juan Rodriguez,21,Historia,5.89,No
Sofia Lopez,18,Ingenieria,4.9,Si
Pedro Perez,20,Matematicas,4.32,Si
Elena Garcia,25,Historia,1.15,Si
Juan Martinez,22,Fisica,7.84,No
Luis Rodriguez,28,Economia,9.33,No
Javier Garcia,22,Fisica,8.4,Si
Ana Perez,27,Economia,9.88,No
Luis Rodriguez,28,Fisica,6.59,No
Elena Martinez,19,Economia,2.94,No
Luis Rodriguez,19,Historia,1.22,Si
Elena Rodriguez,25,Quimica,7.31,No
Sofia Perez,21,Derecho,0.29,Si
Ana Martinez,30,Biologia,0.49,Si
Carlos Garcia,28,Quimica,6.78,Si
Pedro Martinez,26,Fisica,1.39,Si
Pedro Lopez,28,Medicina,0.06,Si
Luis Rodriguez,30,Derecho,1.46,No
Maria Rodriguez,21,Ingenieria,2.8,No
Laura Lopez,21,Derecho,1.89,No
Ana Garcia,26,Matematicas,7.58,Si
Sofia Lopez,25,Fisica,8.14,No
Elena Garcia,25,Biologia,4.07,No
Sofia Perez,20,Biologia,9.4,Si
Javier Lopez,23,Medicina,2.65,Si
Carlos Garcia,21,Matematicas,5.9,Si
Luis Perez,21,Historia,8.72,No
Javier Lopez,27,Arte,4.15,Si
Juan Rodriguez,25,Quimica,4.37,Si
Ana Lopez,20,Economia,4.68,No
Carlos Rodriguez,19,Arte,6.18,No
Luis Lopez,25,Arte,9.48,Si
Pedro Martinez,26,Quimica,6.66,No
Luis Perez,21,Matematicas,7.51,No
Juan Garcia,21,Economia,8.75,No
Elena Lopez,25,Fisica,1.55,Si
Ana Perez,20,Biologia,4.18,Si
Luis Lopez,22,Fisica,0.96,Si
Javier Garcia,28,Derecho,2.7,Si
Juan Garcia,19,Quimica,9.48,No
Luis Lopez,21,Biologia,0.19,No
Sofia Lopez,25,Arte,3.61,No
Pedro Lopez,22,Quimica,8.09,No
Laura Garcia,23,Quimica,3.9,Si
Pedro Lopez,25,Ingenieria,1.4,No
Maria Perez,23,Quimica,2.09,Si
Laura Martinez,19,Ingenieria,0.89,No
Elena Rodriguez,23,Economia,2.65,Si
Maria Perez,24,Ingenieria,3.34,Si
Carlos Martinez,26,Matematicas,5.86,Si
Sofia Lopez,18,Fisica,2.42,No
Pedro Garcia,18,Derecho,8.84,No
Elena Garcia,19,Quimica,0.29,Si
Carlos Rodriguez,20,Biologia,4.74,Si
Carlos Rodriguez,21,Economia,3.34,No
Ana Rodriguez,29,Medicina,6.44,No
Carlos Rodriguez,20,Economia,0.47,No
Carlos Garcia,29,Quimica,5.88,Si
Sofia Perez,23,Economia,2.33,No
Javier Garcia,23,Economia,1.71,Si
Juan Martinez,30,Historia,8.64,No
Laura Rodriguez,24,Ingenieria,4.19,No
Ana Garcia,30,Matematicas,5.68,No
Elena Rodriguez,28,Historia,6.55,Si
Elena Lopez,20,Economia,6.19,No
Laura Rodriguez,18,Medicina,7.93,No
Luis Perez,19,Matematicas,7.31,Si
Javier Garcia,26,Derecho,4.66,No
Laura Rodriguez,29,Derecho,3.87,No
Laura Rodriguez,24,Quimica,6.26,Si
Luis Lopez,30,Derecho,4.69,No
Sofia Garcia,21,Arte,4.8,Si
Laura Garcia,19,Fisica,2.79,No
Ana Garcia,20,Matematicas,0.73,Si
Laura Rodriguez,20,Fisica,4.23,No
Maria Rodriguez,26,Historia,4.37,No
Elena Perez,18,Derecho,3.15,No
Juan Lopez,23,Economia,0.26,No
Elena Perez,29,Quimica,6.24,Si
Sofia Perez,30,Economia,5.19,Si
Juan Martinez,21,Ingenieria,7.93,Si
Luis Martinez,20,Ingenieria,9.61,Si
Maria Garcia,30,Matematicas,7.89,No
Javier Perez,30,Fisica,3.93,Si
Javier Rodriguez,20,Arte,6.91,Si
Pedro Rodriguez,22,Fisica,7.92,Si
Ana Martinez,24,Economia,2.97,Si
Carlos Rodriguez,26,Medicina,3.49,Si
Sofia Rodriguez,29,Historia,3.11,No
Javier Rodriguez,22,Biologia,6.01,Si
Carlos Lopez,26,Medicina,3.97,Si
Ana Martinez,24,Biologia,7.24,Si
Laura Rodriguez,24,Arte,8.46,Si
Juan Garcia,22,Ingenieria,3.9,No
Pedro Perez,25,Matematicas,9.02,No
Sofia Perez,21,Biologia,2.47,Si
Sofia Garcia,22,Quimica,1.71,Si
Laura Perez,24,Derecho,3.42,No
Ana Martinez,24,Economia,3.47,No
Laura Rodriguez,27,Ingenieria,9.82,Si
Maria Lopez,30,Matematicas,1.31,Si
Pedro Perez,20,Historia,8.51,No
Luis Rodriguez,25,Historia,5.25,No
Elena Martinez,25,Historia,9.85,No
Carlos Lopez,28,Biologia,8.84,No
Luis Perez,22,Fisica,0.37,Si
Ana Garcia,19,Biologia,8.88,Si
Javier Garcia,26,Arte,5.03,Si
Ana Perez,27,Biologia,3.53,No
Luis Perez,23,Derecho,5.53,No
Luis Lopez,22,Arte,0.01,Si
Elena Lopez,27,Quimica,7.37,Si
Elena Rodriguez,28,Medicina,5.25,Si
Luis Garcia,22,Economia,1.01,Si
Pedro Lopez,26,Historia,7.81,No
Ana Rodriguez,20,Arte,7.02,Si
Javier Rodriguez,22,Medicina,4.2,Si
Pedro Perez,28,Quimica,0.81,No
Maria Martinez,30,Historia,4.07,Si
Maria Perez,23,Economia,1.62,No
Juan Garcia,26,Biologia,1.12,No
Maria Rodriguez,26,Matematicas,3.54,No
Laura Rodriguez,28,Historia,2.41,No
Javier Perez,25,Economia,5.66,Si
Ana Rodriguez,24,Ingenieria,9.23,Si
Sofia Garcia,24,Biologia,4.04,Si
Carlos Perez,22,Quimica,3.34,No
Maria Garcia,21,Quimica,4.11,Si
Carlos Perez,27,Matematicas,2.91,No
Ana Rodriguez,27,Derecho,5.42,No
Sofia Rodriguez,28,Quimica,6.14,Si
Javier Perez,18,Economia,5.56,No
Javier Martinez,23,Quimica,9.54,No
Juan Garcia,25,Derecho,6.23,No
Carlos Garcia,23,Matematicas,7.55,Si
Elena Rodriguez,27,Derecho,3.74,Si
Laura Garcia,28,Derecho,2.25,Si
Ana Martinez,18,Economia,4.41,No
Ana Garcia,29,Ingenieria,6.78,Si
Carlos Perez,27,Biologia,0.37,No
Pedro Martinez,29,Fisica,4.17,No
Pedro Lopez,22,Economia,9.64,Si
Laura Martinez,28,Economia,8.55,No
Sofia Martinez,29,Ingenieria,0.17,No
Maria Rodriguez,18,Fisica,8.44,No
Ana Perez,30,Matematicas,1.78,No
Carlos Perez,21,Economia,1.34,No
Laura Rodriguez,22,Historia,3.45,Si
Luis Lopez,27,Medicina,8.27,No
Pedro Lopez,22,Matematicas,6.89,No
Pedro Rodriguez,26,Ingenieria,2.83,No
Luis Perez,24,Quimica,1.75,No
Juan Rodriguez,25,Medicina,9.47,Si
Javier Rodriguez,30,Matematicas,2.15,No
Luis Lopez,18,Derecho,6.29,Si
Maria Perez,29,Biologia,8.0,No
Elena Lopez,23,Derecho,5.91,Si
Maria Lopez,30,Ingenieria,7.72,Si
Carlos Rodriguez,21,Medicina,6.26,No
Maria Martinez,20,Ingenieria,5.98,Si
Luis Garcia,24,Derecho,9.62,Si
Laura Garcia,28,Arte,4.06,Si
Luis Garcia,24,Medicina,8.63,Si
Maria Rodriguez,24,Quimica,1.18,No
Juan Perez,28,Biologia,4.75,Si
Sofia Perez,30,Historia,8.16,Si
Elena Garcia,23,Medicina,4.65,No
Elena Garcia,25,Derecho,4.2,No
